cultura,area_ha,ph,fosforo_ppm,potassio_ppm,materia_organica_percent,fase_enos,precipitacao_total_ciclo,temperatura_media_ciclo,temperatura_max_ciclo,dias_calor_extremo_ciclo,produtividade_kg_ha
Soja,19.25,5.45,19.57,83.65,1.83,El Nino,837.8,24.622384016254653,32.0,0.0,3412.9746516093137
Milho,18.12,5.6,20.43,112.12,2.85,El Nino,1017.2,24.68934271030565,32.0,0.0,6700.7905153120555
Algodão,20.57,4.82,15.95,50.32,3.0,El Nino,1087.1,24.82537313432836,32.5,0.1666666666666666,1794.3417403564706
Soja,21.49,6.13,9.11,96.77,1.69,El Nino,824.0999999999999,24.6215834767642,32.0,0.0,3789.530122127363
Soja,21.93,6.07,8.4,143.2,2.86,El Nino,802.7,24.639195443218227,32.0,0.0,4435.439745710462
Milho,19.28,5.27,16.04,108.7,2.58,El Nino,1043.0,24.6803738317757,32.0,0.0,6595.912599406365
Soja,18.01,5.29,12.95,123.03,2.0,El Nino,825.8999999999999,24.630406108989938,32.0,0.0,4073.122060112079
Algodão,19.42,5.93,15.84,91.47,1.69,El Nino,1047.5,24.80341680318277,32.0,0.0,1780.2179091202106
Milho,18.68,4.81,24.19,71.8,2.93,El Nino,1025.9,24.70605187319885,32.0,0.0,6031.376082161711
Algodão,18.27,5.97,17.22,48.85,2.05,El Nino,1046.6999999999998,24.78705325443787,32.0,0.0,1756.9156411863544
Milho,18.09,5.63,5.63,80.04,2.49,El Nino,990.7,24.684845163058373,32.0,0.0,4168.187349007872
Milho,20.98,5.39,5.39,70.96,3.45,El Nino,998.8,24.692394517602796,32.0,0.0,6961.45479970239
Milho,18.36,6.17,7.81,42.22,3.5,El Nino,990.7,24.684845163058373,32.0,0.0,6538.317459757272
Soja,20.02,5.58,7.84,67.97,1.99,El Nino,775.3,24.63588465646138,32.0,0.0,4405.700541727417
Soja,20.45,5.22,9.02,59.19,2.63,El Nino,767.6,24.61695038029699,32.0,0.0,3528.6777468240984
Milho,19.37,5.88,20.39,122.51,2.8,El Nino,956.8,24.686659161272168,32.0,0.0,4381.08122620708
Soja,21.93,5.75,11.46,95.85,3.41,El Nino,807.5,24.65831373866309,32.0,0.0,3817.967339305875
Milho,19.15,5.28,22.1,80.39,2.84,El Nino,1000.7,24.68536715620828,32.0,0.0,3715.1115179995995
Soja,18.5,6.17,8.13,65.9,2.82,El Nino,416.4,25.093597246127363,33.2,1.7916666666666667,3929.2731623148916
Milho,19.15,5.86,18.54,104.34,3.38,El Nino,399.9,24.99528871014077,33.2,2.4166666666666665,4378.363591591632
Milho,19.25,5.45,19.57,83.65,1.83,El Nino,354.79999999999995,25.018614944024996,33.6,4.333333333333333,6258.449801776303
Milho,21.9,5.16,22.43,80.99,3.01,El Nino,354.8,25.010756062767477,33.2,2.5416666666666665,5402.591005118956
Algodão,21.6,6.08,12.89,70.04,1.76,El Nino,354.9,25.18648886929689,36.7,10.208333333333334,1809.2985231898617
Soja,20.68,5.87,19.04,56.6,2.49,El Nino,337.5,25.1172162443596,33.2,1.7916666666666667,3647.260807171435
Milho,18.58,6.04,9.43,146.34,1.91,El Nino,337.6,25.038403654931468,33.6,4.041666666666667,4526.3148251000075
Algodão,18.38,4.88,8.03,136.84,2.18,El Nino,337.6,25.064146969342385,35.0,7.625,2100.1842078084655
Soja,18.77,4.89,21.1,93.66,1.71,El Nino,327.40000000000003,25.15253141831239,33.2,1.7916666666666667,3627.6314244083687
Milho,18.27,5.97,17.22,48.85,2.05,El Nino,327.49999999999994,25.044432576769022,33.6,4.333333333333333,6753.330072821896
Algodão,20.98,5.39,5.39,70.96,3.45,El Nino,318.0,25.169269292055542,36.7,9.583333333333334,1880.2750593009398
Soja,19.42,5.93,15.84,91.47,1.69,El Nino,317.90000000000003,25.131497418244408,33.2,1.7916666666666667,3925.299166328677
Algodão,20.91,5.78,5.05,115.63,3.43,El Nino,317.70000000000005,25.26345099758825,36.7,11.458333333333334,1689.513765043891
Algodão,20.18,5.23,19.73,116.62,3.47,El Nino,315.9,25.13167326041424,35.0,8.958333333333334,1630.0138516721554
Soja,21.69,6.13,19.22,109.1,3.2,El Nino,314.1,25.12746858168761,33.2,1.7916666666666667,3665.012117063302
Soja,18.59,5.54,21.98,143.46,2.14,El Nino,314.1,25.12746858168761,33.2,1.7916666666666667,4392.341138509034
Soja,21.6,5.16,11.44,108.87,2.46,El Nino,314.2,25.090419737263694,33.2,2.083333333333333,4201.577311278967
Milho,19.04,6.16,17.67,118.09,1.53,El Nino,311.4,25.039586245457084,33.6,4.041666666666667,4285.958441707709
Milho,19.52,5.91,9.97,121.67,2.86,El Nino,311.4,25.03886972671796,33.9,4.875,6073.49057090707
Soja,19.56,4.93,19.71,134.49,2.34,El Nino,303.2,25.095504132231408,33.2,2.0416666666666665,4093.3858536745483
Milho,20.34,5.75,16.61,91.88,2.21,El Nino,299.6000000000001,25.04451541238545,33.6,4.333333333333333,5821.6532457197
Milho,20.02,5.58,7.84,67.97,1.99,El Nino,292.6,25.04333793103449,33.6,4.333333333333333,4976.693984805468
Algodão,19.99,5.84,15.83,62.24,2.45,El Nino,292.7,25.29184868272912,36.7,11.791666666666666,1711.208189351829
Soja,18.88,5.23,22.89,110.05,3.46,El Nino,292.5,25.11426050123544,33.2,1.7916666666666667,4253.190284909114
Algodão,18.09,5.63,5.63,80.04,2.49,El Nino,287.7,25.307830639653996,36.7,11.791666666666666,2010.7635102937604
Soja,19.1,5.84,17.06,42.03,2.39,El Nino,287.5,25.13640933572711,33.2,1.7916666666666667,3887.421477162858
Milho,20.71,4.96,7.34,99.19,2.31,El Nino,287.6,25.074116633151394,33.6,4.166666666666667,5617.934406838004
Milho,21.46,5.45,7.36,149.12,2.9,El Nino,287.6,25.06799247514109,34.8,5.375,6506.694011541831
Milho,20.84,6.16,7.27,141.51,1.58,El Nino,281.8,25.046251007793604,34.8,5.375,3966.67639196576
Algodão,19.42,5.23,22.84,70.93,3.06,El Nino,281.90000000000003,25.38035834266517,37.5,13.125,1755.2519803772304
Soja,19.15,5.28,22.1,80.39,2.84,El Nino,281.7,25.13653123933083,33.2,2.0416666666666665,4471.3479492989945
Algodão,20.9,5.38,5.14,128.16,2.22,El Nino,281.00000000000006,25.287619269257625,36.7,11.125,1835.6214223204943
Algodão,18.74,5.53,12.37,120.34,3.16,El Nino,277.7,25.43575406549343,37.9,14.041666666666666,1830.2821558104054
Algodão,20.1,5.52,21.18,110.13,1.7,El Nino,277.7,25.44808331486816,37.9,14.375,1905.2487303040718
Algodão,19.92,5.42,21.28,98.35,3.26,El Nino,277.7,25.408714253546496,37.9,13.458333333333334,2008.798126408409
Milho,21.2,6.02,18.81,41.07,2.41,El Nino,277.6,25.071663360725417,33.6,4.458333333333333,5914.902322835405
Soja,19.05,5.18,22.15,104.9,3.31,El Nino,267.2,25.161030709495236,33.2,2.0416666666666665,3753.59641614038
Soja,20.1,5.01,6.6,148.7,3.2,El Nino,267.2,25.15610780539027,33.2,2.0416666666666665,3884.0683482108448
Milho,19.82,5.99,23.45,110.67,1.58,El Nino,264.6,25.072776135447462,34.8,6.0,6593.780326089368
Algodão,21.93,6.07,8.4,143.2,2.86,El Nino,259.3,25.373516406795435,36.7,12.375,1641.6492383233633
Algodão,19.62,6.07,15.71,58.38,2.54,El Nino,259.3,25.34424570487173,36.7,11.791666666666666,1833.2660564422806
Algodão,18.31,5.12,10.52,53.83,2.78,El Nino,251.8,25.37678446056635,36.7,12.375,1641.6490325253233
Milho,20.89,4.84,7.27,112.0,2.24,El Nino,251.7,25.120537832849987,35.0,7.291666666666667,5309.71185266552
Algodão,18.12,5.6,20.43,112.12,2.85,El Nino,238.8,25.47844297746415,37.9,14.375,1851.8949262679791
Algodão,20.16,6.14,24.72,120.92,2.79,El Nino,238.8,25.574939387260304,38.3,16.25,1925.1732673218014
Milho,18.55,4.81,22.03,69.95,2.88,El Nino,238.7,25.08744895181051,34.8,6.208333333333333,6442.906720438911
Algodão,19.18,5.49,10.33,90.21,3.26,El Nino,226.7,25.54494483224499,37.9,15.666666666666666,1531.555065207865
Soja,19.12,4.94,22.85,131.34,3.08,El Nino,226.6,25.19188699746468,33.2,2.2916666666666665,3671.4147180535037
Milho,20.45,5.22,9.02,59.19,2.63,El Nino,221.0,25.089657126664772,34.8,6.0,5691.036550360987
Soja,21.19,5.9,9.04,145.37,1.71,El Nino,220.9,25.09401470073504,33.2,2.4166666666666665,3611.3940555772247
Algodão,21.11,4.98,22.8,47.04,1.68,El Nino,221.0,25.701057967820148,38.3,18.20833333333333,1825.718971144604
Milho,18.77,5.85,20.74,136.66,1.93,El Nino,220.7,25.08437939769209,34.8,6.708333333333333,4876.400326792587
Milho,20.54,6.13,11.17,133.12,3.03,El Nino,217.4,25.19268357810414,35.0,8.958333333333334,4860.333989760834
Soja,18.36,6.17,7.81,42.22,3.5,El Nino,217.3,25.081384171739828,33.6,4.333333333333333,4453.581971167107
Milho,20.81,5.7,15.1,67.66,2.0,El Nino,217.29999999999995,25.13535215127432,35.0,8.166666666666666,5682.999845176649
Soja,18.86,5.12,20.41,116.23,2.19,El Nino,217.3,25.069946140035903,33.2,2.4166666666666665,4165.510956774396
Soja,18.68,4.81,24.19,71.8,2.93,El Nino,217.3,25.086265060240965,33.6,3.4166666666666665,4225.657676951107
Soja,18.12,6.17,21.4,81.07,3.03,El Nino,216.6,25.07126251210849,33.6,4.333333333333333,4038.097225290549
Algodão,18.37,5.8,10.5,61.37,1.8,El Nino,213.8,25.71492907002927,38.3,18.58333333333333,1651.7537411172889
Soja,19.28,5.27,16.04,108.7,2.58,El Nino,213.7,25.067002928734134,33.6,4.333333333333333,3413.0386042417003
Algodão,21.58,5.43,18.49,69.17,1.74,El Nino,198.6,25.78189674274319,38.3,19.666666666666668,1838.4027349104217
Algodão,19.37,5.88,20.39,122.51,2.8,El Nino,198.1,25.736721756848542,38.3,18.83333333333333,2010.7557862795318
Soja,20.57,4.82,15.95,50.32,3.0,El Nino,197.4,25.08444984380424,33.6,3.8333333333333335,3889.0251685899066
Soja,18.03,5.17,19.99,123.03,2.44,El Nino,190.3,25.064414562151523,33.6,4.333333333333333,4540.341836946285
Soja,18.66,5.76,24.08,70.72,2.03,El Nino,190.30000000000004,25.083137386630835,33.6,4.333333333333333,3333.9258959845615
Milho,19.62,4.94,10.37,117.62,2.85,El Nino,179.09999999999997,25.3356300759759,36.7,11.458333333333334,4361.482094640571
Milho,21.93,5.75,11.46,95.85,3.41,El Nino,179.09999999999997,25.31729501713683,36.7,11.125,6010.207702101622
Milho,21.49,6.13,9.11,96.77,1.69,El Nino,172.7,25.17035987531879,35.0,8.666666666666666,7085.240007768312
Algodão,20.83,4.9,24.46,96.25,3.28,El Nino,173.90000000000003,25.80067552353073,38.3,19.666666666666668,1986.979355602787
Soja,19.02,5.0,16.35,63.94,3.27,El Nino,172.70000000000002,25.071176274575137,33.6,4.333333333333333,3937.006335554223
Algodão,21.96,5.17,7.69,75.48,1.83,El Nino,172.79999999999998,25.638609854796474,38.3,16.875,1620.4533439613544
Soja,20.02,4.9,6.77,132.66,3.24,El Nino,169.29999999999998,25.108070289619267,34.0,5.125,3721.9489085586515
Soja,18.05,4.96,17.3,128.0,2.95,El Nino,169.3,25.09221577330147,33.6,4.333333333333333,3903.0893487772814
Algodão,21.24,5.73,20.62,46.91,1.6,El Nino,132.20000000000002,25.79689886600324,38.3,19.125,1831.597024834184
Soja,21.51,5.09,12.83,103.16,1.92,El Nino,131.50000000000003,25.11025817555938,33.6,4.333333333333333,3440.844518752598
Soja,18.38,4.95,7.78,137.38,1.78,El Nino,127.0,25.123303411131054,33.6,3.9166666666666665,4482.206032921945
Milho,18.01,5.29,12.95,123.03,2.0,El Nino,127.0,25.26228393312553,36.7,9.583333333333334,5458.9368780932045
Milho,18.75,5.22,18.61,135.26,3.02,El Nino,123.4,25.418572565667283,36.7,12.375,5248.614977578254
Soja,20.89,5.89,24.35,148.16,2.66,El Nino,118.0,25.14397044004031,34.8,5.375,3799.0230640689415
Algodão,18.62,6.06,24.86,63.55,2.0,El Nino,137.7,25.857505093955176,38.3,20.166666666666668,1869.1384410952344
Soja,18.77,5.86,18.28,112.62,2.58,Neutro,491.0,25.277058249267814,33.6,1.1666666666666667,3549.6650946088107
Soja,20.81,4.82,5.33,137.9,3.12,Neutro,453.8,25.29292245174399,33.6,1.1666666666666667,3846.521294967799
Soja,18.74,5.5,15.95,46.42,1.6,Neutro,449.3,25.263819272855628,33.6,1.1666666666666667,3965.44754510446
Milho,19.62,5.76,11.25,119.47,2.26,Neutro,612.9000000000001,25.21669060614765,33.5,1.0,5900.167635854514
Algodão,20.54,5.41,14.08,77.22,2.29,Neutro,839.6,25.164911879148548,33.5,1.0,1763.319313087481
Milho,19.28,4.91,8.29,128.13,3.02,Neutro,706.9000000000001,25.187503295544428,33.5,1.0,4011.6962541115263
Milho,19.56,6.07,11.21,124.93,3.0,Neutro,623.5,25.209700866648028,33.5,1.0,4384.721951671988
Soja,21.93,5.98,16.19,97.29,3.45,Neutro,502.0,25.22420465726468,33.5,1.0,3528.327360534846
Soja,19.92,5.97,10.96,74.98,2.93,Neutro,442.2,25.29033951697585,33.5,1.0,4059.3133864063725
Milho,21.19,6.18,17.07,59.27,2.44,Neutro,689.5,25.19647944101048,33.5,1.0,5499.520437398342
Algodão,19.05,5.72,22.34,53.74,2.4,Neutro,824.9,25.15413038361968,33.5,1.0,1749.2287286846508
Milho,18.12,6.2,9.51,119.29,3.18,Neutro,621.4,25.212468336616944,33.5,1.0,6529.870689393819
Milho,20.91,5.39,11.04,89.51,3.37,Neutro,629.5999999999999,25.204892367906066,33.5,1.0,5321.397265623038
Soja,20.89,6.06,7.27,43.39,2.62,Neutro,449.9,25.2814953909184,33.5,1.0,4312.537272653809
Algodão,21.2,5.98,13.65,92.5,2.27,Neutro,824.9,25.151005917159765,33.5,1.0,1850.7602257532772
Algodão,18.68,5.25,20.04,51.35,2.38,Neutro,824.8000000000001,25.141799571530587,33.5,1.0,1518.7481220717516
Soja,20.02,6.06,16.79,56.97,3.4,Neutro,448.5,25.28815834767642,33.5,1.0,4407.078654804285
Soja,21.49,4.81,16.24,111.09,3.33,Neutro,526.1,25.2495674463313,33.5,1.0,3433.20073392614
Algodão,18.12,5.74,22.34,87.47,2.27,Neutro,855.1999999999999,25.185973853312653,33.5,1.0,1737.7364465494795
Algodão,19.12,5.92,10.84,50.61,2.85,Neutro,834.0,25.206421173762944,33.5,1.0,1750.7934070156662
Algodão,18.66,6.09,19.26,55.1,2.5,Neutro,826.5,25.17438705070221,33.5,1.0,1819.067910033622
Milho,20.9,5.33,13.21,129.31,2.09,Neutro,640.5,25.211277982431284,33.5,1.0,6346.253095660494
Soja,18.37,5.78,14.01,144.24,2.11,Neutro,530.0,25.265555911566803,33.5,1.0,3978.5658087016395
Soja,20.98,6.06,16.67,139.71,1.61,Neutro,507.4,25.232784682566344,33.5,1.0,4100.418730790273
Milho,21.51,5.35,9.17,77.76,3.43,Neutro,697.6,25.196437380104136,33.5,1.0,5996.136258764166
Soja,19.52,5.02,23.9,100.53,1.95,Neutro,469.9,25.292022590893048,33.5,1.0,3684.360764703103
Algodão,20.34,5.21,23.59,50.34,2.68,Neutro,860.0,25.15637048526479,33.5,1.0,1643.6113036926185
Algodão,18.03,5.18,9.59,107.94,2.08,Neutro,860.0,25.15637048526479,33.5,1.0,1559.1443538102073
Milho,18.38,6.05,6.21,64.76,3.39,Neutro,696.5999999999999,25.19482711679826,33.5,1.0,7040.724823228116
Algodão,18.01,5.02,17.02,40.88,3.16,Neutro,821.8,25.190573672935017,33.1,0.8333333333333334,1833.546861826607
Algodão,19.02,5.29,9.85,83.57,1.88,Neutro,821.8,25.200904546536535,33.1,0.8333333333333334,1892.2710245969602
Soja,18.62,5.57,8.51,139.47,3.31,Neutro,487.6,25.245358277444407,33.1,0.8333333333333334,3551.3079458796865
Algodão,20.89,5.85,6.35,128.62,2.68,Neutro,875.3,25.12080684060513,33.1,0.8333333333333334,2090.256540860979
Milho,18.5,5.46,23.03,40.64,2.75,Neutro,719.3000000000001,25.180696977947186,33.1,0.8333333333333334,4401.726283109869
Algodão,21.69,4.96,13.76,82.46,2.37,Neutro,837.1999999999999,25.18808799438334,33.1,0.8333333333333334,1861.2034436078443
Milho,20.68,5.93,20.55,89.83,2.75,Neutro,718.7,25.17845985201425,33.1,0.8333333333333334,6240.419704689278
Milho,20.57,6.18,17.75,87.37,3.16,Neutro,733.7,25.164133080876383,33.0,0.7083333333333334,4254.685344185605
Soja,18.31,5.05,11.8,149.81,2.32,Neutro,522.1,25.248323738570942,33.0,0.7083333333333334,3839.521743954086
Milho,18.05,5.98,24.17,56.47,2.13,Neutro,715.5,25.158820240424937,33.0,0.5833333333333334,6360.572981741919
Soja,21.58,5.06,19.54,148.98,3.36,Neutro,582.9,25.204003874717465,33.0,0.5833333333333334,3879.673075987664
Soja,21.46,6.18,7.53,62.48,2.07,Neutro,520.8000000000001,25.23404475043029,33.0,0.5833333333333334,3954.2606273305114
Algodão,18.38,5.24,20.77,76.94,1.74,Neutro,858.3,25.116433966582743,33.0,0.5833333333333334,1793.7016473959056
Milho,21.96,5.8,20.02,56.13,2.65,Neutro,802.7,25.11330382712835,33.0,0.5833333333333334,5449.923722648803
Soja,19.37,4.97,22.59,44.08,1.91,Neutro,575.0,25.19378569029224,33.0,0.5416666666666666,3817.902345531843
Soja,21.9,4.95,8.4,109.43,2.42,Neutro,513.6,25.228693485226056,33.0,0.5416666666666666,3851.821336153491
Milho,18.86,5.44,6.36,83.26,2.5,Neutro,795.5,25.10619492656876,33.0,0.5416666666666666,6800.494295687545
Soja,20.45,5.88,21.16,55.44,2.54,Neutro,568.7,25.196681341009143,33.0,0.5416666666666666,3682.7138277156464
Milho,20.1,5.66,24.07,42.31,2.52,Neutro,765.7,25.120092567383608,33.0,0.5416666666666666,6800.712225267752
Milho,20.02,5.61,8.09,112.02,2.52,Neutro,765.7,25.120092567383608,33.0,0.5416666666666666,4935.704011666148
Soja,18.27,5.89,19.51,109.76,2.17,Neutro,575.1,25.20782255333559,33.0,0.5416666666666666,3845.595439658419
Milho,21.93,4.89,5.98,71.8,1.85,Neutro,793.0,25.108926156342985,33.0,0.5416666666666666,4023.5490473151353
Soja,19.04,4.95,14.29,83.92,1.98,Neutro,572.4,25.18799028115238,33.0,0.5416666666666666,4393.190268467106
Milho,19.99,5.33,18.29,101.85,2.51,Neutro,799.2,25.143501186395994,33.0,0.5416666666666666,4450.163200688872
Milho,19.42,5.49,24.89,74.37,2.77,Neutro,771.5,25.089208834218617,33.0,0.5,5279.024398198395
Milho,20.16,5.96,19.29,58.88,2.07,Neutro,798.7,25.147693118903245,33.0,0.5,5389.3057102809935
Milho,20.18,5.75,21.63,148.64,2.78,El Nino,783.5999999999999,25.146908994428237,33.0,0.5,6553.0549265138
Milho,19.1,5.31,20.65,129.11,1.76,El Nino,777.0,25.12385718149851,33.0,0.5,5741.096346978608
Soja,19.42,6.17,13.85,94.01,1.81,El Nino,557.0999999999999,25.17003850192509,33.0,0.5,3546.9489775008833
Soja,18.55,6.03,7.75,42.91,2.16,El Nino,635.4,25.143364546335164,33.0,0.5,3698.017548961693
Algodão,18.75,6.03,18.95,94.53,2.58,El Nino,848.5,25.040098017375808,33.0,0.4166666666666667,1816.522247932697
Algodão,19.62,5.79,11.74,42.05,2.32,El Nino,843.8000000000001,25.01452375591083,32.7,0.3333333333333333,1839.0157908195026
Milho,18.88,5.47,8.67,81.91,2.57,El Nino,761.6999999999999,25.07670728251629,32.7,0.3333333333333333,5833.220724913149
Milho,19.18,5.51,18.6,41.09,2.66,El Nino,777.3,25.12523364485981,32.7,0.3333333333333333,6001.490708693602
Milho,20.1,5.84,5.3,109.07,3.14,El Nino,771.3,25.12523822488429,32.7,0.3333333333333333,4243.229015102212
Soja,21.11,5.28,6.96,103.73,3.01,El Nino,642.0,25.08934076746474,32.7,0.3333333333333333,3731.491839655033
Soja,20.84,5.2,8.75,47.38,2.08,El Nino,579.4,25.095449772488628,32.7,0.3333333333333333,3629.717738878261
Milho,19.15,5.91,11.52,68.64,3.48,El Nino,787.0,25.10527991509684,32.7,0.3333333333333333,4108.020594647853
Soja,19.82,5.21,14.6,88.96,3.45,El Nino,561.6,25.10987432675045,32.7,0.3333333333333333,3546.956145648678
Algodão,19.25,5.4,16.5,108.6,2.86,El Nino,821.8,25.03062721893491,32.7,0.3333333333333333,1658.8367465625677
Soja,21.6,5.44,14.23,76.76,2.42,El Nino,627.4,25.08302925989673,32.7,0.3333333333333333,4149.937861886617
Soja,21.24,6.0,8.61,89.86,1.71,El Nino,627.4,25.08302925989673,32.7,0.3333333333333333,4386.546591015263
Milho,21.6,5.6,18.84,111.99,2.64,El Nino,753.7,25.12134444125251,32.7,0.3333333333333333,6319.895036860581
Milho,18.09,5.64,5.39,71.23,1.9,El Nino,773.1,25.10865990682379,32.7,0.3333333333333333,4541.9742737859115
Soja,20.71,5.74,17.65,54.52,2.52,El Nino,625.2,25.089674483724185,32.7,0.3333333333333333,4536.68995466755
Milho,20.83,4.91,17.89,124.54,1.67,El Nino,791.5,25.06496662216288,32.7,0.3333333333333333,4767.360495936622
Algodão,18.59,5.19,11.15,103.96,2.11,El Nino,839.5999999999999,24.996605686577038,32.7,0.3333333333333333,1909.3297930721915
Algodão,19.15,6.01,20.11,48.54,1.99,El Nino,837.5999999999999,24.99375139977604,32.7,0.3333333333333333,1707.9858858189775
Milho,18.36,5.03,16.07,75.44,3.48,El Nino,761.5,25.118957211674697,32.7,0.3333333333333333,5338.120262201725
Milho,18.77,6.02,23.74,79.86,2.88,El Nino,794.9000000000001,25.04667020429822,32.7,0.3333333333333333,4124.7804017130275
Soja,18.58,5.8,13.17,44.83,3.39,El Nino,645.9000000000001,25.077022874701264,32.7,0.3333333333333333,3972.976963645647
Algodão,19.42,5.49,24.89,74.37,2.77,Neutro,394.2,24.86585537093377,33.9,4.416666666666667,1630.1106687252404
Soja,20.34,5.21,23.59,50.34,2.68,Neutro,392.9,24.7946758420862,32.3,0.0416666666666666,3927.6511898166655
Algodão,20.81,4.82,5.33,137.9,3.12,Neutro,384.9,24.96623941405356,37.2,6.625,1891.922112340149
Milho,19.62,5.79,11.74,42.05,2.32,Neutro,384.9,24.83780843725126,33.9,2.9166666666666665,5783.953806860345
Milho,18.58,5.8,13.17,44.83,3.39,Neutro,378.0,24.80051709278943,33.2,1.4166666666666667,6329.11128001065
Algodão,19.37,4.97,22.59,44.08,1.91,Neutro,378.7,25.04406928305196,37.2,8.708333333333334,1887.5982530528559
Algodão,21.11,5.28,6.96,103.73,3.01,Neutro,378.0,24.97366181410974,37.2,7.5,2054.397418636466
Milho,19.92,5.97,10.96,74.98,2.93,Neutro,368.2000000000001,24.8351847000262,33.9,3.2916666666666665,4377.377279414729
Soja,18.12,5.74,22.34,87.47,2.27,Neutro,356.5,24.76894683372841,32.6,0.125,3809.248189279841
Algodão,18.12,6.2,9.51,119.29,3.18,Neutro,355.1,24.9141632944537,35.4,5.583333333333333,2084.6525940422825
Milho,18.68,5.25,20.04,51.35,2.38,Neutro,355.1,24.852069245334057,33.9,3.0416666666666665,3864.5002539364864
Milho,18.77,5.86,18.28,112.62,2.58,Neutro,355.1,24.858786774277533,33.9,3.6666666666666665,6372.457442947035
Milho,21.6,5.44,14.23,76.76,2.42,Neutro,344.90000000000003,24.85545875306289,33.9,3.0416666666666665,6042.889407973349
Soja,19.02,5.29,9.85,83.57,1.88,Neutro,344.79999999999995,24.7866377874042,32.6,0.125,3675.059492813359
Milho,21.46,6.18,7.53,62.48,2.07,Neutro,344.9,24.850786206896554,33.9,2.7916666666666665,6758.582122446778
Soja,19.56,6.07,11.21,124.93,3.0,Neutro,326.90000000000003,24.782005998000663,32.6,0.125,3512.94982593727
Algodão,19.62,5.76,11.25,119.47,2.26,Neutro,316.1,24.995596286598428,37.2,6.958333333333333,1919.160586395823
Milho,19.52,5.02,23.9,100.53,1.95,Neutro,311.1,24.84918032786885,33.9,3.6666666666666665,6403.920834694557
Soja,18.36,5.03,16.07,75.44,3.48,Neutro,311.1,24.775860938012464,32.6,0.2083333333333333,3836.4658409879653
Milho,18.62,5.57,8.51,139.47,3.31,Neutro,309.3,24.836878644820885,33.9,3.1666666666666665,5758.469120961365
Soja,19.12,5.92,10.84,50.61,2.85,Neutro,309.29999999999995,24.784217377155876,33.2,0.625,3903.030109513505
Algodão,20.02,6.06,16.79,56.97,3.4,Neutro,308.2,25.1879016175493,37.2,11.166666666666666,1577.5821938537524
Soja,20.18,5.75,21.63,148.64,2.78,Neutro,307.40000000000003,24.76646997570288,32.6,0.125,3939.038028294631
Algodão,21.9,4.95,8.4,109.43,2.42,Neutro,302.5,25.08558204119417,37.2,9.041666666666666,1768.0005884177447
Soja,20.68,5.93,20.55,89.83,2.75,Neutro,301.7,24.76950229438757,32.6,0.125,3687.7275302362314
Algodão,18.86,5.44,6.36,83.26,2.5,Neutro,299.8,25.10080999768572,37.2,9.333333333333334,1946.039257807235
Algodão,18.31,5.05,11.8,149.81,2.32,Neutro,297.7,25.13776754890679,37.2,9.916666666666666,1966.2532551361414
Soja,21.2,5.98,13.65,92.5,2.27,Neutro,297.0,24.780358956992888,33.2,0.4166666666666667,4194.652175063762
Algodão,19.18,5.51,18.6,41.09,2.66,Neutro,297.7,25.17835635046412,37.2,10.833333333333334,1712.1006762060026
Algodão,20.84,5.2,8.75,47.38,2.08,Neutro,297.7,25.13776754890679,37.2,9.916666666666666,1579.44360144109
Milho,20.45,5.88,21.16,55.44,2.54,Neutro,290.9,24.84003143830233,33.9,4.208333333333333,5596.105808393579
Soja,19.99,5.33,18.29,101.85,2.51,Neutro,290.9,24.774285714285718,32.6,0.2083333333333333,3504.7929238099123
Soja,19.25,5.4,16.5,108.6,2.86,Neutro,278.5,24.78296647477142,33.2,0.75,4239.458233698989
Soja,19.1,5.31,20.65,129.11,1.76,Neutro,278.5,24.78280991735537,33.2,0.9166666666666666,4392.093257570293
Algodão,19.15,5.91,11.52,68.64,3.48,Neutro,277.7,25.09533444417996,37.2,9.041666666666666,1595.7227685462
Soja,20.02,5.61,8.09,112.02,2.52,Neutro,277.0,24.799056296778392,33.2,1.2083333333333333,4657.729686185068
Milho,18.38,5.24,20.77,76.94,1.74,Neutro,277.0,24.841388518024036,33.9,4.083333333333333,6063.720534675249
Algodão,19.28,4.91,8.29,128.13,3.02,Neutro,273.5,25.162204540135736,37.2,10.25,1779.5615189723567
Algodão,21.51,5.35,9.17,77.76,3.43,Neutro,273.5,25.162204540135736,37.2,10.25,2004.2885675305204
Soja,18.59,5.19,11.15,103.96,2.11,Neutro,272.8,24.826049343159244,33.9,1.8333333333333333,3642.629102067478
Algodão,21.19,6.18,17.07,59.27,2.44,Neutro,244.2,25.171823075122862,37.2,10.583333333333334,1690.4274729111285
Milho,18.55,6.03,7.75,42.91,2.16,Neutro,243.50000000000003,24.8408551724138,33.9,4.0,4738.474506974213
Algodão,20.1,5.84,5.3,109.07,3.14,Neutro,244.2,25.36427154507384,37.2,14.166666666666666,1946.2492383259855
Soja,21.6,5.6,18.84,111.99,2.64,Neutro,231.0,24.780368726527826,33.2,0.9166666666666666,4390.737180389163
Algodão,19.82,5.21,14.6,88.96,3.45,Neutro,226.3,25.22068885268792,37.2,11.5,1878.9269934206177
Milho,18.75,6.03,18.95,94.53,2.58,Neutro,225.6,24.910703928288957,35.4,5.583333333333333,6112.338568324308
Algodão,18.38,6.05,6.21,64.76,3.39,Neutro,218.00000000000003,25.43992545494409,37.2,15.458333333333334,1870.857902746775
Soja,18.5,5.46,23.03,40.64,2.75,Neutro,217.3,24.784727525164875,33.2,0.9166666666666666,3647.7897844639388
